rank,BusinessName,BusinessAddress,BusinessPhone,BusinessRating,BusinessWebsite,keywords,NumberOfReviews,GoogleSearchQuery,ScrubbedDomain,BusinessCity,BusinessState,BusinessZip,Over20Reviews,Local,QueryDate/TimeStamp
1,Roto-Rooter Plumbing & Water Cleanup,"50 Franklin St #407, Boston, Ma 02110",(617) 279-0554,4.8,https://www.rotorooter.com/boston/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=website,"Plumber,Contractor,Drainage service,Excavating contractor,Repair service,Water damage restoration service,Water filter supplier,Water softening equipment supplier",2698,"plumbing,boston,ma",www.rotorooter.com,Boston,,"=""02110""",1,1,"2024-02-15,02:14 UTC"
2,South End Plumbing,,(617) 669-8964,4.7,http://www.south-end-plumbing.com/,"Plumber,Service establishment,Heating contractor",56,"plumbing,boston,ma",www.south-end-plumbing.com,,,,1,0,"2024-02-15,02:14 UTC"
3,T-Flow Inc. Plumbing Repair,,(617) 818-1229,4.9,https://www.bostonsplumber.com/,"Plumber,Service establishment",80,"plumbing,boston,ma",www.bostonsplumber.com,,,,1,0,"2024-02-15,02:14 UTC"
4,Beacon Hill Plumbing & Heating,"56 Myrtle St, Boston, Ma 02114",(617) 723-3296,4.1,http://beaconhillplumbing.com/,Plumber,35,"plumbing,boston,ma",beaconhillplumbing.com,Boston,,"=""02114""",1,1,"2024-02-15,02:14 UTC"
5,Boston Standard Company,"41 Hollingsworth St, Mattapan, Ma 02126",(617) 362-8890,4.6,https://www.bostonstandardplumbing.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,"Plumber,Air conditioning contractor,Air conditioning repair service,Air conditioning system supplier,Bathroom remodeler,Furnace repair service,Heating contractor,Hot water system supplier,HVAC contractor,Plumbing supply store",1646,"plumbing,boston,ma",www.bostonstandardplumbing.com,Mattapan,,"=""02126""",1,0,"2024-02-15,02:14 UTC"
